[06/09/2020 - 04:51:23PM] PlayerDamage log opened (PC-64)
[06/09/2020 - 04:51:47PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] Mask: [Armor < (00140C54)>] | 100%
[06/09/2020 - 04:51:47PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] akSource = [Form < (0100708F)>] | akProjectile = None
[06/09/2020 - 04:51:47PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] Mask: [Armor < (00140C54)>] | 100%
[06/09/2020 - 04:51:47PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] akSource = [Form < (0100708F)>] | akProjectile = None
[06/09/2020 - 04:51:48PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] Mask: [Armor < (00140C54)>] | 100%
[06/09/2020 - 04:51:48PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] akSource = [Form < (0100708F)>] | akProjectile = None
[06/09/2020 - 04:51:49PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] Mask: [Armor < (00140C54)>] | 100%
[06/09/2020 - 04:51:49PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] akSource = [Form < (0100708F)>] | akProjectile = None
[06/09/2020 - 04:51:49PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] Mask: [Armor < (00140C54)>] | 100%
[06/09/2020 - 04:51:49PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] akSource = [Form < (0100708F)>] | akProjectile = None
[06/09/2020 - 04:51:50PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] Mask: [Armor < (00140C54)>] | 100%
[06/09/2020 - 04:51:50PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] akSource = [Form < (0100708F)>] | akProjectile = None
[06/09/2020 - 04:51:50PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] Mask: [Armor < (00140C54)>] | 100%
[06/09/2020 - 04:51:50PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] akSource = [Form < (0100708F)>] | akProjectile = None
[06/09/2020 - 04:51:51PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] Mask: [Armor < (00140C54)>] | 100%
[06/09/2020 - 04:51:51PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] akSource = [Form < (0100708F)>] | akProjectile = None
[06/09/2020 - 04:51:51PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] Mask: [Armor < (00140C54)>] | 100%
[06/09/2020 - 04:51:52PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] akSource = [Form < (0100708F)>] | akProjectile = None
[06/09/2020 - 04:51:52PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] Mask: [Armor < (00140C54)>] | 100%
[06/09/2020 - 04:51:52PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] akSource = [Form < (0100708F)>] | akProjectile = None
[06/09/2020 - 04:51:52PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] Mask: [Armor < (00140C54)>] | 100%
[06/09/2020 - 04:51:53PM] [metro:gear:playerdamage <GasMask_Gear (1B00F3FE)>] akSource = [Form < (0100708F)>] | akProjectile = None
